overview_date,portfolio_id,book_name,instrument_name,asset_value,dtd_ativo_pct,dtd_ativo_fin,exposure_value,asset_value_ontem,exposure_value_ontem
7/4/2025,1295,Risco >> Renda Fixa,BETA CURVA,1910145810,0.00044223,844350.3578,1910145810,1909301459,1909301459
7/7/2025,1295,Risco >> Renda Fixa,BETA CURVA,1910990538,0.000442232,844728.5343,1910990538,1910145810,1910145810
7/8/2025,1295,Risco >> Renda Fixa,BETA CURVA,1911835645,0.000442235,845106.8819,1911835645,1910990538,1910990538
7/9/2025,1295,Risco >> Renda Fixa,BETA CURVA,1912681131,0.000442237,845485.4006,1912681131,1911835645,1911835645
7/10/2025,1295,Risco >> Renda Fixa,BETA CURVA,1913526995,0.00044224,845864.0906,1913526995,1912681131,1912681131
7/11/2025,1295,Risco >> Renda Fixa,BETA CURVA,1914373238,0.000442242,846242.9519,1914373238,1913526995,1913526995
7/14/2025,1295,Risco >> Renda Fixa,BETA CURVA,1915219860,0.000442245,846621.9846,1915219860,1914373238,1914373238
7/15/2025,1295,Risco >> Renda Fixa,BETA CURVA,1916066861,0.000442247,847001.1888,1916066861,1915219860,1915219860
7/16/2025,1295,Risco >> Renda Fixa,BETA CURVA,1916914241,0.00044225,847380.5645,1916914241,1916066861,1916066861
7/17/2025,1295,Risco >> Renda Fixa,BETA CURVA,1917762001,0.000442252,847760.1119,1917762001,1916914241,1916914241
7/18/2025,1295,Risco >> Renda Fixa,BETA CURVA,1918610141,0.000442255,848139.831,1918610141,1917762001,1917762001
7/21/2025,1295,Risco >> Renda Fixa,BETA CURVA,1919458661,0.000442257,848519.7219,1919458661,1918610141,1918610141
7/22/2025,1295,Risco >> Renda Fixa,BETA CURVA,2029007561,0.00044226,848899.7847,2029007561,1919458661,1919458661
7/23/2025,1295,Risco >> Renda Fixa,BETA CURVA,2029916731,0.000448086,909169.9225,2029916731,2029007561,2029007561
7/24/2025,1295,Risco >> Renda Fixa,BETA CURVA,2030794524,0.000432428,877793.0413,2030794524,2029916731,2029916731
7/25/2025,1295,Risco >> Renda Fixa,BETA CURVA,2031672712,0.000432436,878188.2454,2031672712,2030794524,2030794524
7/28/2025,1295,Risco >> Renda Fixa,BETA CURVA,2032551296,0.000432443,878583.6293,2032551296,2031672712,2031672712
7/29/2025,1295,Risco >> Renda Fixa,BETA CURVA,2032931501,0.000187058,380205.4218,2032931501,2032551296,2032551296
7/30/2025,1295,Risco >> Renda Fixa,BETA CURVA,2033810601,0.00043243,879100.1299,2033810601,2032931501,2032931501
7/31/2025,1295,Risco >> Renda Fixa,BETA CURVA,2034690097,0.000432437,879495.9023,2034690097,2033810601,2033810601
