overview_date,portfolio_id,instrument_name,instrument_id,book_name,asset_value,dtd_ativo_fin,exposure_value,exposure_value_ontem,asset_value_ontem,dtd_ativo_pct,Year,Month,mtd_ativo_pct,ytd_ativo_pct,grupo_1,grupo_2,grupo_3
2025-05-23,1295,2663,0.0,Risco >> Multimercado Terceiros,503418658.1,1249246.98,503418658.1,502169411.2,502169411.2,0.0024877002703425515,2025.0,5.0,0.005993572272278147,0.04843077310659516,Risco,Multimercado Terceiros,
2025-05-26,1295,2663,0.0,Risco >> Multimercado Terceiros,503542682.5,124024.36,503542682.5,503418658.1,503418658.1,0.00024636424972425945,2025.0,5.0,0.006241413123938555,0.04868906896739955,Risco,Multimercado Terceiros,
2025-05-27,1295,2663,0.0,Risco >> Multimercado Terceiros,504401114.4,858431.92,504401114.4,503542682.5,503542682.5,0.0017047848173228097,2025.0,5.0,0.00795683820759363,0.0504768581702677,Risco,Multimercado Terceiros,
2025-05-28,1295,2663,0.0,Risco >> Multimercado Terceiros,503604591.4,-796522.98,503604591.4,504401114.4,504401114.4,-0.0015791459559868094,2025.0,5.0,0.006365127242728752,0.048818001887830365,Risco,Multimercado Terceiros,
2025-05-29,1295,2663,0.0,Risco >> Multimercado Terceiros,503295872.8,-308718.64,503295872.8,503604591.4,503604591.4,-0.0006130179217424825,2025.0,5.0,0.0057482073839123515,0.04817505765602692,Risco,Multimercado Terceiros,
2025-05-30,1295,2663,0.0,Risco >> Multimercado Terceiros,502954774.8,-341097.95,502954774.8,503295872.8,503295872.8,-0.0006777284862328798,2025.0,5.0,0.005066583173790606,0.04746467956089462,Risco,Multimercado Terceiros,
2025-06-02,1295,2663,0.0,Risco >> Multimercado Terceiros,501392307.5,-1562467.33,501392307.5,502954774.8,502954774.8,-0.0031065761938959924,2025.0,6.0,-0.0031065761938959824,0.044210650723423894,Risco,Multimercado Terceiros,
2025-06-03,1295,2663,0.0,Risco >> Multimercado Terceiros,502474082.4,1081774.86,502474082.4,501392307.5,501392307.5,0.0021575417967496444,2025.0,6.0,-0.0009557369651294056,0.04646357884697094,Risco,Multimercado Terceiros,
2025-06-04,1295,2663,0.0,Risco >> Multimercado Terceiros,503320529.0,846446.62,503320529.0,502474082.4,502474082.4,0.001684557770536266,2025.0,6.0,0.0007272108112756914,0.04822640720030069,Risco,Multimercado Terceiros,
2025-06-05,1295,2663,0.0,Risco >> Multimercado Terceiros,504025192.2,704663.19,504025192.2,503320529.0,503320529.0,0.0014000287081475272,2025.0,6.0,0.002128257635435782,0.04969395426301948,Risco,Multimercado Terceiros,
2025-06-06,1295,2663,0.0,Risco >> Multimercado Terceiros,502767767.8,-1257424.43,502767767.8,504025192.2,504025192.2,-0.00249476504242083,2025.0,6.0,-0.0003718169097352009,0.047075214480683636,Risco,Multimercado Terceiros,
2025-06-09,1295,2663,0.0,Risco >> Multimercado Terceiros,503346795.9,579028.13,503346795.9,502767767.8,502767767.8,0.0011516810883356711,2025.0,6.0,0.0007794359640971305,0.04828111120326595,Risco,Multimercado Terceiros,
2025-06-10,1295,2663,0.0,Risco >> Multimercado Terceiros,503532274.9,185478.99,503532274.9,503346795.9,503346795.9,0.00036849144866087346,2025.0,6.0,0.0011482146282455474,0.04866739382853691,Risco,Multimercado Terceiros,
2025-06-11,1295,2663,0.0,Risco >> Multimercado Terceiros,504963779.4,1431504.55,504963779.4,503532274.9,503532274.9,0.0028429251139547957,2025.0,6.0,0.003994404030403187,0.051648676698637486,Risco,Multimercado Terceiros,
2025-06-12,1295,2663,0.0,Risco >> Multimercado Terceiros,506647421.4,1683641.97,506647421.4,504963779.4,504963779.4,0.0033341836359045596,2025.0,6.0,0.007341905742861199,0.05515506650720692,Risco,Multimercado Terceiros,
2025-06-13,1295,2663,0.0,Risco >> Multimercado Terceiros,505372981.3,-1274440.07,505372981.3,506647421.4,506647421.4,-0.002515437790008656,2025.0,6.0,0.0048079998456962425,0.052500889578595666,Risco,Multimercado Terceiros,
2025-06-16,1295,2663,0.0,Risco >> Multimercado Terceiros,506592657.4,1219676.08,506592657.4,505372981.3,505372981.3,0.002413417664044004,2025.0,6.0,0.007233021221496605,0.05504101381692661,Risco,Multimercado Terceiros,
2025-06-17,1295,2663,0.0,Risco >> Multimercado Terceiros,505450253.9,-1142403.5,505450253.9,506592657.4,506592657.4,-0.002255073150612151,2025.0,6.0,0.004961637078930048,0.05266181915387347,Risco,Multimercado Terceiros,
2025-06-18,1295,2663,0.0,Risco >> Multimercado Terceiros,505329822.7,-120431.24,505329822.7,505450253.9,505450253.9,-0.0002382652675921428,2025.0,6.0,0.004722189625551598,0.05241100640384877,Risco,Multimercado Terceiros,
2025-06-20,1295,2663,0.0,Risco >> Multimercado Terceiros,506154338.9,824516.24,506154338.9,505329822.7,505329822.7,0.0016316397785402267,2025.0,6.0,0.006361534316526862,0.054128162065270935,Risco,Multimercado Terceiros,
2025-06-23,1295,2663,0.0,Risco >> Multimercado Terceiros,507050056.6,895717.67,507050056.6,506154338.9,506154338.9,0.0017696532483483568,2025.0,6.0,0.008142445274742949,0.05599360339144521,Risco,Multimercado Terceiros,
2025-06-24,1295,2663,0.0,Risco >> Multimercado Terceiros,508925331.3,1875274.7,508925331.3,507050056.6,507050056.6,0.003698401519910214,2025.0,6.0,0.01187096082663297,0.05989909173924346,Risco,Multimercado Terceiros,
2025-06-25,1295,2663,0.0,Risco >> Multimercado Terceiros,508773264.1,-152067.17,508773264.1,508925331.3,508925331.3,-0.000298800552158721,2025.0,6.0,0.01156861322482472,0.059582393305399384,Risco,Multimercado Terceiros,
2025-06-26,1295,2663,0.0,Risco >> Multimercado Terceiros,511167227.4,2393963.29,511167227.4,508773264.1,508773264.1,0.0047053637817129155,2025.0,6.0,0.016328411540210475,0.06456811392259931,Risco,Multimercado Terceiros,
