date,portfolio_id,profitability_in_day,profitability_in_month,profitability_in_year
2025-01-30,1233,0.0001663852,-0.3457736381,-0.3457736381
2025-01-30,1157,0.0001769324,0.0056450896,0.0056450896
2025-01-30,1208,0.009270049,0.002059457,0.002059457
2025-01-30,1232,-0.0005545228,-0.9944290565,-0.9944290565
2025-01-30,1295,0.0048086182,0.0157770643,0.0157770643
2025-01-30,1694,-0.0007674248,,
2025-01-30,1608,0.0063345704,-0.0088635048,-0.0088635048
2025-01-30,1203,0.0057115992,0.0172360707,0.0172360707
2025-01-30,1296,0.0036972683,0.0051547076,0.0051547076
2025-01-30,1693,-0.0003163492,,
2025-01-30,1206,0.0016687026,0.0022636624,0.0022636624
2025-01-30,1695,0.0144326012,-0.023161435,-0.023161435
2025-01-30,1517,0.0151439093,0.0180347953,0.0180347953
2025-01-30,1607,0.0045020722,-0.0186149112,-0.0186149112
2025-01-30,1297,0.0039379227,-0.004038901,-0.004038901
2025-01-30,1210,0.0099364952,0.0253590636,0.0253590636
2025-01-30,1175,0.008374641,0.0211326958,0.0211326958
2025-01-30,1234,-0.0087088361,-0.9999962215,-0.9999962215
2025-01-31,1672,0.000633796,0.0190766201,0.0190766201
2025-01-31,1607,-0.0073049091,-0.0257838401,-0.0257838401
2025-01-31,1234,-0.0087364029,-0.9999962545,-0.9999962545
2025-01-31,1211,0.0024199576,0.0292660986,0.0292660986
2025-01-31,1157,0.0002549708,0.0059014998,0.0059014998
2025-01-31,1233,0.0001831551,-0.3456538131,-0.3456538131
2025-01-31,1875,,,
2025-01-31,1247,-0.0075854156,0.0549145262,0.0549145262
2025-01-31,1608,-0.0068933015,-0.0156957075,-0.0156957075
2025-01-31,1175,-0.0031204238,0.017946329,0.017946329
2025-01-31,1210,-0.0019004929,0.023410376,0.023410376
2025-01-31,1207,0.0,0.0,0.0
2025-01-31,1693,-0.000311722,,
2025-01-31,1295,-0.0002257394,0.0155477634,0.0155477634
2025-01-31,1232,-0.0005248204,-0.9944319802,-0.9944319802
2025-01-31,1296,-0.0523474472,-0.0474625754,-0.0474625754
2025-01-31,1694,-0.0007639822,,
2025-01-31,1205,0.0007796249,0.0084258905,0.0084258905
2025-01-31,1676,0.00052649,,
2025-01-31,1695,-0.0039387779,-0.0270089853,-0.0270089853
2025-01-31,1204,0.000818856,0.008308434,0.008308434
2025-01-31,1209,-0.0049343952,-0.0039044817,-0.0039044817
2025-01-31,1208,-0.0062314971,-0.0041848736,-0.0041848736
2025-01-31,1297,-0.0018625788,-0.0058939571,-0.0058939571
2025-01-31,1273,0.001287503,0.0148562899,0.0148562899
2025-01-31,1203,0.0020571472,0.0193286751,0.0193286751
2025-01-31,1270,-0.0017565893,0.0115091227,0.0115091227
2025-01-31,1517,-0.0055481995,0.012386535,0.012386535
2025-01-31,1206,0.0024089206,0.004678036,0.004678036
2025-02-03,1209,0.0032367029,0.0032367029,-0.0006804163
2025-02-03,1205,0.0008606265,0.0008606265,0.0092937686
2025-02-03,1608,-0.0058576086,-0.0058576086,-0.0214613768
2025-02-03,1234,46.1370891091,46.1370891091,-0.9998234495
2025-02-03,1695,0.0013134803,0.0013134803,-0.0257309807
2025-02-03,1296,0.0003594692,0.0003594692,-0.0471201675
2025-02-03,1175,0.0048639447,0.0048639447,0.0228975637
2025-02-03,1204,0.0008889549,0.0008889549,0.0092047748
2025-02-03,1211,0.0047290893,0.0047290893,0.0341335899
2025-02-03,1693,-0.0003479578,-0.0003479578,
2025-02-03,1672,-0.0019228462,-0.0019228462,0.0171170924
2025-02-03,1676,-6.23208e-05,-6.23208e-05,
2025-02-03,1207,0.0,0.0,0.0
2025-02-03,1694,3.40512e-05,3.40512e-05,
2025-02-03,1233,0.0005767684,0.0005767684,-0.3452764069
2025-02-03,1607,-0.0074770378,-0.0074770378,-0.0330680912
2025-02-03,1206,0.0021273409,0.0021273409,0.0068153287
2025-02-03,1295,0.0027870422,0.0027870422,0.0183781379
2025-02-03,1270,-0.0022223147,-0.0022223147,0.0092612311
2025-02-03,1297,0.0018298534,0.0018298534,-0.0040748887
2025-02-03,1157,0.0002918374,0.0002918374,0.0061950595
2025-02-03,1203,0.0029672431,0.0029672431,0.0223532711
2025-02-03,1210,0.0015705664,0.0015705664,0.02501771
2025-02-03,1208,0.0042892601,0.0042892601,8.64364e-05
2025-02-03,1247,0.0054225972,0.0054225972,0.0606349028
2025-02-03,1875,,,
2025-02-03,1273,-0.001563047,-0.001563047,0.0132700217
2025-02-03,1517,0.0239813265,0.0239813265,0.0366649071
2025-02-03,1232,-0.0006170176,-0.0006170176,-0.9944354158
2025-02-04,1875,,,
2025-02-04,1297,0.000415607,0.0022462209,-0.0036609752
2025-02-04,1517,0.0114153464,0.0356704281,0.0484987962
2025-02-04,1694,0.0,3.40512e-05,
2025-02-04,1695,0.0025900558,0.0039069381,-0.0232075695
2025-02-04,1157,0.0002932815,0.0005852045,0.0064901579
2025-02-04,1296,-0.1024603452,-0.1021377073,-0.1447525641
2025-02-04,1273,-0.0005652004,-0.0021273641,0.012697321
2025-02-04,1205,-0.0006342896,0.000225791,0.0086535841
2025-02-04,1207,0.0,0.0,0.0
2025-02-04,1206,-0.0031344229,-0.00101375,0.0036595436
2025-02-04,1232,-0.0006251949,-0.0012418268,-0.9944388948
2025-02-04,1672,0.0009318425,-0.0009927954,0.0180648855
2025-02-04,1693,-0.0003462378,-0.0006940751,
2025-02-04,1607,-0.0032352471,-0.0106880948,-0.0361963549
2025-02-04,1233,0.0001785846,0.000755456,-0.3451594833
2025-02-04,1209,0.0019264413,0.0051693796,0.0012447141
2025-02-04,1204,-0.0006883489,0.0001999941,0.0085100898
2025-02-04,1211,-0.0001868741,0.0045413314,0.0339403371
2025-02-04,1234,-0.0093667585,45.695567378,-0.9998251032
2025-02-04,1270,0.0019197753,-0.0003068057,0.0111987859
2025-02-04,1295,0.0012257228,0.0040161812,0.0196263873
2025-02-04,1175,0.0043387542,0.0092238025,0.0273356649
2025-02-04,1203,-0.0008932044,0.0020713883,0.0214401006
2025-02-04,1208,0.0022174208,0.006516192,0.0023040489
2025-02-04,1247,0.0014560299,0.0068865225,0.0621792189
2025-02-04,1676,-6.21723e-05,-0.0001244893,
2025-02-04,1210,0.0003378014,0.0019088984,0.0253639625
2025-02-04,1608,-0.0024683456,-0.0083114956,-0.0238767483
2025-02-05,1295,-0.0008902451,0.0031223608,0.0187186699
2025-02-05,1211,-0.0033781939,0.0011477959,0.030447486
2025-02-05,1234,-0.0377641987,43.9321466925,-0.999831708
2025-02-05,1233,0.0001792426,0.0009348341,-0.345042108
2025-02-05,1205,0.0011662033,0.0013922577,0.0098298793
2025-02-05,1210,-0.0005321333,0.0013757493,0.0248183321
2025-02-05,1247,-0.0025666794,0.0043021676,0.0594529454
2025-02-05,1694,-0.0026629719,-0.0026290113,
2025-02-05,1203,-0.0013982101,0.0006702819,0.0200119127
2025-02-05,1204,0.0011608327,0.0013610589,0.0096808013
2025-02-05,1206,0.0009667444,-4.79855e-05,0.004629826
2025-02-05,1672,0.0002303565,-0.0007626676,0.0182994033
2025-02-05,1607,0.002786184,-0.0079316898,-0.0335110206
2025-02-05,1175,-0.0015688012,0.0076405309,0.0257239794
2025-02-05,1695,-0.0006903693,0.0032138716,-0.0238819171
2025-02-05,1157,0.0004329738,0.0010184318,0.0069259419
2025-02-05,1676,-6.22654e-05,-0.000186747,
2025-02-05,1517,-0.0004979415,0.0351547247,0.047976705
2025-02-05,1232,-0.0007109108,-0.0019518548,-0.9944428482
2025-02-05,1208,0.0010726214,0.0075958029,0.0033791418
2025-02-05,1693,-0.0003475463,-0.0010413802,
2025-02-05,1273,-0.0018959014,-0.0040192323,0.0107773466
2025-02-05,1297,0.0009536062,0.0032019692,-0.0027108601
2025-02-05,1296,0.0011563848,-0.101099433,-0.143763569
2025-02-05,1207,0.0,0.0,0.0
2025-02-05,1270,-0.001696605,-0.0020028902,0.009483181
2025-02-05,1608,0.002120894,-0.0062082293,-0.0218064943
2025-02-05,1209,0.000673131,0.0058459902,0.001918683
2025-02-05,1875,,,
2025-02-06,1175,0.0018237632,0.0094782286,0.0275946571
2025-02-06,1270,0.0017284249,-0.0002779271,0.0112279969
2025-02-06,1296,0.0009624876,-0.1002342523,-0.1429394519
2025-02-06,1693,-0.0003520908,-0.0013931044,
2025-02-06,1672,0.002074496,0.0013102462,0.0204118614
2025-02-06,1209,0.0008082048,0.0066589198,0.0027284385
2025-02-06,1208,0.000944947,0.0085479275,0.0043272819
2025-02-06,1203,0.0001423348,0.0008127122,0.020157096
2025-02-06,1607,5.99182e-05,-0.0078722468,-0.0334531102
2025-02-06,1608,0.0005069093,-0.005704467,-0.0213106389
2025-02-06,1206,0.0013820083,0.0013339564,0.0060182328
